line,score,filename,timestamp,measurement
0,99.4,,2014-03-26 13:51:12.653000,
8,99.3,5331d74f-259af-7324cogP.VID,2014-03-26 13:51:14.700000,
21,88.3,52cc4e57-14795-23cdcogP.VID,2014-03-26 14:06:01.747000,Substrate Align Left
70,84.1,52cc4ead-148ae-3e98cogP.VID,2014-03-26 14:06:03.763000,Substrate Align Right
116,79.8,52cc5154-25157-1b10cogP.VID,2014-03-26 14:06:08.356000,Local Align Right
160,79.7,52cc5161-25182-3ce1cogP.VID,2014-03-26 14:06:10.388000,Local Align Left
203,94.6,52cc7476-24412-30cfcogP.VID,2014-03-26 14:06:14.388000,VCSEL Left
241,96.9,52cc74f4-245ae-5b0acogP.VID,2014-03-26 14:06:16.372000,VCSEL Right
279,97.0,5331b99c-278b2-7fdecogP.VID,2014-03-26 14:06:20.497000,
297,98.2,5331b96c-27816-208acogP.VID,2014-03-26 14:06:22.684000,
315,96.6,5331ba93-27bd9-8266cogP.VID,2014-03-26 14:06:27.638000,
328,96.7,5331badd-27ccb-255ccogP.VID,2014-03-26 14:06:29.888000,
341,96.7,5331bb69-27e94-1b65cogP.VID,2014-03-26 14:06:34.700000,
353,95.5,5331bb9a-27f34-24b5cogP.VID,2014-03-26 14:06:36.872000,
365,96.7,5331bc54-28193-2619cogP.VID,2014-03-26 14:06:43.278000,
377,94.9,5331bc8d-2824d-7f4ccogP.VID,2014-03-26 14:06:45.466000,
389,99.5,5331c5de-220ba-27d1cogP.VID,2014-03-26 14:06:50.169000,
401,99.2,5331c71d-224cb-7957cogP.VID,2014-03-26 14:06:52.419000,
413,99.5,5331c821-2281d-1db0cogP.VID,2014-03-26 14:07:00.466000,
425,99.3,5331c877-22935-387bcogP.VID,2014-03-26 14:07:02.513000,
437,99.5,5331d541-252f9-2e86cogP.VID,2014-03-26 14:07:08.169000,
449,99.2,5331d579-253b0-5dbdcogP.VID,2014-03-26 14:07:10.419000,
461,99.4,5331d5e2-25507-1643cogP.VID,2014-03-26 14:07:19.372000,
473,99.4,5331d607-2557f-27becogP.VID,2014-03-26 14:07:21.403000,
485,99.4,5331d6b4-257b4-8751cogP.VID,2014-03-26 14:07:29.341000,
497,99.4,5331d6d5-25820-70dacogP.VID,2014-03-26 14:07:31.528000,
509,99.4,5331d72d-25940-5f9ecogP.VID,2014-03-26 14:07:41.638000,
9,99.5,5331d74f-259af-7324cogP.VID,2014-03-26 14:07:43.700000,
521,99.3,5331d7a9-25ad4-35e0cogP.VID,2014-03-26 14:08:01.513000,
533,99.4,5331d7cc-25b47-7363cogP.VID,2014-03-26 14:08:03.544000,
545,99.5,5331d851-25cf9-4385cogP.VID,2014-03-26 14:08:21.153000,
557,99.3,5331d87d-25d89-7ae6cogP.VID,2014-03-26 14:08:23.200000,
569,99.4,5331d8d4-25ea5-3faecogP.VID,2014-03-26 14:08:51.403000,
581,99.3,5331d900-25f35-7710cogP.VID,2014-03-26 14:08:53.638000,
22,88.3,52cc4e57-14795-23cdcogP.VID,2014-03-26 14:12:41.113000,Substrate Align Left
71,84.1,52cc4ead-148ae-3e98cogP.VID,2014-03-26 14:12:43.035000,Substrate Align Right
117,79.8,52cc5154-25157-1b10cogP.VID,2014-03-26 14:12:45.003000,Local Align Right
161,79.8,52cc5161-25182-3ce1cogP.VID,2014-03-26 14:12:47.019000,Local Align Left
23,88.9,52cc4e57-14795-23cdcogP.VID,2014-03-26 14:12:50.018000,Substrate Align Left
72,84.1,52cc4ead-148ae-3e98cogP.VID,2014-03-26 14:12:52.018000,Substrate Align Right
118,79.8,52cc5154-25157-1b10cogP.VID,2014-03-26 14:12:54.049000,Local Align Right
162,79.7,52cc5161-25182-3ce1cogP.VID,2014-03-26 14:12:55.908000,Local Align Left
24,89.2,52cc4e57-14795-23cdcogP.VID,2014-03-26 14:12:58.720000,Substrate Align Left
73,84.3,52cc4ead-148ae-3e98cogP.VID,2014-03-26 14:13:00.642000,Substrate Align Right
119,79.9,52cc5154-25157-1b10cogP.VID,2014-03-26 14:13:02.673000,Local Align Right
163,79.8,52cc5161-25182-3ce1cogP.VID,2014-03-26 14:13:04.688000,Local Align Left
25,89.4,52cc4e57-14795-23cdcogP.VID,2014-03-26 14:13:07.485000,Substrate Align Left
74,84.3,52cc4ead-148ae-3e98cogP.VID,2014-03-26 14:13:09.375000,Substrate Align Right
26,89.4,52cc4e57-14795-23cdcogP.VID,2014-03-26 14:14:01.899000,Substrate Align Left
75,84.2,52cc4ead-148ae-3e98cogP.VID,2014-03-26 14:14:03.836000,Substrate Align Right
120,79.7,52cc5154-25157-1b10cogP.VID,2014-03-26 14:14:05.852000,Local Align Right
164,79.5,52cc5161-25182-3ce1cogP.VID,2014-03-26 14:14:07.883000,Local Align Left
204,95.2,52cc7476-24412-30cfcogP.VID,2014-03-26 14:14:09.976000,VCSEL Left
242,96.9,52cc74f4-245ae-5b0acogP.VID,2014-03-26 14:14:11.835000,VCSEL Right
280,97.0,5331b99c-278b2-7fdecogP.VID,2014-03-26 14:14:13.757000,
